sample_id,latency_ms
0,43.21718215942383
1,43.70713233947754
2,41.733741760253906
3,41.7172908782959
4,42.13309288024902
5,42.20390319824219
6,42.86789894104004
7,40.71402549743652
8,43.794870376586914
9,40.895938873291016
10,41.01920127868652
11,43.39098930358887
12,41.954994201660156
13,41.38684272766113
14,41.37015342712402
15,41.185855865478516
16,42.99116134643555
17,41.95880889892578
18,42.49072074890137
19,40.39812088012695
20,41.49889945983887
21,41.30816459655762
22,41.39113426208496
23,40.97175598144531
24,41.998863220214844
25,42.0839786529541
26,41.5191650390625
27,42.05489158630371
28,41.168212890625
29,42.25015640258789
30,41.68295860290527
31,40.92001914978027
32,43.3201789855957
33,40.56501388549805
34,40.950775146484375
35,43.24817657470703
36,41.36490821838379
37,41.10288619995117
38,40.88020324707031
39,41.12982749938965
40,43.56694221496582
41,41.19992256164551
42,40.81106185913086
43,40.64321517944336
44,41.18609428405762
45,42.40012168884277
46,40.534019470214844
47,40.74811935424805
48,42.09113121032715
49,40.30203819274902
50,42.3579216003418
51,41.02301597595215
52,39.98899459838867
53,41.25618934631348
54,40.72284698486328
55,40.92597961425781
56,45.32003402709961
57,46.97418212890625
58,46.5397834777832
59,49.31235313415527
60,51.88298225402832
61,48.96807670593262
62,48.7821102142334
63,50.10628700256348
64,46.77391052246094
65,49.82304573059082
66,50.23622512817383
67,50.98605155944824
68,48.05612564086914
69,48.38204383850098
70,47.7910041809082
71,48.0809211730957
72,49.867868423461914
73,47.60003089904785
74,47.02186584472656
75,48.44808578491211
76,50.76932907104492
77,50.15420913696289
78,45.867919921875
79,50.936222076416016
80,49.41105842590332
81,47.04117774963379
82,48.8889217376709
83,48.5687255859375
84,49.433231353759766
85,47.01495170593262
86,48.15196990966797
87,46.72694206237793
88,48.941850662231445
89,50.39191246032715
90,46.96488380432129
91,46.881914138793945
92,49.53598976135254
93,48.094987869262695
94,48.60806465148926
95,47.05500602722168
96,48.81882667541504
97,50.49300193786621
98,50.01997947692871
99,47.911882400512695
100,48.61903190612793
101,51.0401725769043
102,46.179771423339844
103,49.49498176574707
104,47.69325256347656
105,49.56483840942383
106,46.63801193237305
107,48.449039459228516
