sample_id,latency_ms
0,246.04296684265137
1,146.38233184814453
2,147.88126945495605
3,140.1214599609375
4,147.6278305053711
5,137.79807090759277
6,133.4373950958252
7,118.41917037963867
8,116.00303649902344
9,119.97127532958984
10,117.62094497680664
11,117.0802116394043
12,115.75031280517578
13,116.13035202026367
14,117.95592308044434
15,121.87862396240234
16,117.48814582824707
17,119.42625045776367
18,117.20633506774902
19,116.01090431213379
20,116.37544631958008
21,117.65003204345703
22,115.4320240020752
23,120.21136283874512
24,122.58791923522949
25,116.26863479614258
26,121.94490432739258
27,127.50482559204102
28,120.63312530517578
29,134.1543197631836
30,139.8451328277588
31,134.36436653137207
32,123.52776527404785
33,145.71428298950195
34,149.4612693786621
35,147.782564163208
36,132.84540176391602
37,126.32369995117188
38,131.8833827972412
39,147.98521995544434
40,153.0323028564453
41,143.6905860900879
42,128.68261337280273
43,150.65431594848633
44,149.23787117004395
45,139.1599178314209
46,136.94119453430176
47,135.00666618347168
48,124.90606307983398
49,155.76887130737305
50,127.85696983337402
51,126.68466567993164
52,125.98776817321777
53,135.77651977539062
54,131.95228576660156
55,130.43951988220215
56,123.10218811035156
57,128.93915176391602
58,133.24403762817383
59,131.0572624206543
60,128.8769245147705
61,125.98443031311035
62,129.90593910217285
63,127.23731994628906
64,126.3723373413086
65,122.86639213562012
66,123.05545806884766
67,125.08058547973633
68,130.85031509399414
69,123.01158905029297
70,124.02939796447754
71,125.31352043151855
72,125.41580200195312
73,131.4859390258789
74,123.32606315612793
75,123.84605407714844
76,122.73406982421875
77,123.60000610351562
78,126.98078155517578
79,151.72314643859863
80,131.2854290008545
81,136.10172271728516
82,149.9955654144287
83,146.30389213562012
84,140.35487174987793
85,126.74617767333984
86,135.420560836792
87,126.678466796875
88,127.29144096374512
89,128.27467918395996
90,127.53868103027344
91,138.6587619781494
92,132.07030296325684
93,130.67960739135742
94,137.17150688171387
95,142.38595962524414
96,152.27341651916504
97,155.34329414367676
98,152.47583389282227
99,137.85290718078613
100,136.58833503723145
101,131.75272941589355
102,135.3161334991455
103,132.83228874206543
104,139.3730640411377
105,144.73366737365723
106,151.4124870300293
107,144.1490650177002
108,139.15085792541504
109,129.27770614624023
110,160.57968139648438
111,135.9395980834961
112,130.22780418395996
113,127.64644622802734
114,131.70146942138672
115,129.0273666381836
116,128.61275672912598
117,127.52890586853027
118,127.37822532653809
119,129.44769859313965
120,127.5944709777832
121,134.28783416748047
122,133.29815864562988
123,134.73081588745117
124,132.32970237731934
125,137.80784606933594
126,134.89294052124023
127,129.06193733215332
128,127.89440155029297
129,132.1101188659668
130,134.54604148864746
131,129.51326370239258
132,130.54299354553223
133,136.02805137634277
134,140.89584350585938
135,149.70159530639648
136,134.7367763519287
137,132.9324245452881
138,129.10723686218262
139,129.3036937713623
140,137.91561126708984
141,137.2976303100586
142,137.60638236999512
143,136.54804229736328
144,133.55255126953125
145,127.52485275268555
146,134.37771797180176
147,130.0334930419922
148,125.52404403686523
149,128.51238250732422
150,130.6781768798828
151,128.03888320922852
152,129.5452117919922
153,133.41903686523438
154,131.90484046936035
155,130.37633895874023
156,145.0486183166504
157,135.07580757141113
158,133.5155963897705
159,135.04314422607422
160,132.2786808013916
161,131.70576095581055
162,130.5241584777832
163,133.1477165222168
164,129.41241264343262
165,131.90317153930664
