experiment_name,model_architecture,accuracy,energy_wh,normalized_energy,penalty_factor,ede_score,flops,task_type,timestamp
yolov4,yolov4,0.0,0.3225984938973238,0.45848257535884945,0.0,0.0,390000000,detection,2025-04-09T13:47:35.772371
yolov4,yolov4,0.0,0.32092250690434987,0.4552138295843529,0.0,0.0,390000000,detection,2025-04-09T13:54:44.986514
yolov4,yolov4,0.0,0.28544191271801894,0.3860145799425637,0.0,0.0,390000000,detection,2025-04-09T13:55:44.704283
yolov4,yolov4,0.0,0.42490080455826523,0.6580069434452686,0.0,0.0,390000000,detection,2025-04-09T13:57:01.410431
yolov4,yolov4,0.0,0.2686893061713487,0.3533412882697788,0.0,0.0,390000000,detection,2025-04-09T13:58:44.802948
yolov4,yolov4,0.0,0.2956377047358019,0.40589984887095554,0.0,0.0,390000000,detection,2025-04-09T13:59:50.706288
yolov4,yolov4,0.0,0.2891838373833871,0.3933126082027369,0.0,0.0,390000000,detection,2025-04-09T14:00:45.391380
yolov4,yolov4,0.0,0.2917676615181665,0.3983519457739765,0.0,0.0,390000000,detection,2025-04-09T14:02:44.033366
yolov4,yolov4,0.0,0.2951500608338806,0.4049487770842731,0.0,0.0,390000000,detection,2025-04-09T14:03:52.264877
yolov4,yolov4,0.0,0.3612909753377214,0.5339460996840955,0.0,0.0,390000000,detection,2025-04-09T14:04:47.334861
yolov4,yolov4,0.0,0.3634513578599849,0.5381595818116711,0.0,0.0,390000000,detection,2025-04-09T14:06:08.387342
yolov4,yolov4,0.0,0.36661223372805646,0.5443243669089189,0.0,0.0,390000000,detection,2025-04-09T14:07:30.110749
yolov4,yolov4,0.0,0.31804873340642453,0.44960899194683934,0.0,0.0,390000000,detection,2025-04-09T14:08:48.554025
yolov4,yolov4,0.0,0.2695434662458561,0.35500719149336857,0.0,0.0,390000000,detection,2025-04-09T14:15:25.407913
yolov4,yolov4,0.0,0.026551589451644927,-0.11890977435292233,0.0,0.0,390000000,detection,2025-04-09T14:16:34.145777
yolov4,yolov4,0.0,0.40671515837578553,0.6225387361353844,0.0,0.0,390000000,detection,2025-04-09T14:17:38.509919
yolov4,yolov4,0.0,0.29276631331250974,0.4002996570907334,0.0,0.0,390000000,detection,2025-04-09T14:24:49.448728
yolov4,yolov4,0.0,0.2864090605788842,0.3879008478532156,0.0,0.0,390000000,detection,2025-04-09T14:26:06.873986
yolov4,yolov4,0.0,0.149247680718586,0.12038941565116737,0.0,0.0,390000000,detection,2025-04-09T14:28:24.825150
yolov4,yolov4,0.0,0.26192341704940736,0.3401454988210706,0.0,0.0,390000000,detection,2025-04-09T14:30:20.267075
yolov4,yolov4,0.0,0.4257603469608597,0.6596833440428028,0.0,0.0,390000000,detection,2025-04-09T14:32:17.639124
yolov4,yolov4,0.0,0.376495482202496,0.5636000694200696,0.0,0.0,390000000,detection,2025-04-09T14:33:09.011473
yolov4,yolov4,0.0,0.08703216718614709,-0.0009520373671695727,0.0,0.0,390000000,detection,2025-04-09T14:36:22.756574
yolov4,yolov4,0.0,0.0800724866961046,-0.01452578602335979,0.0,0.0,390000000,detection,2025-04-09T14:38:47.907639
yolov4,yolov4,0.0,0.0849554566626173,-0.005002330583702909,0.0,0.0,390000000,detection,2025-04-09T14:39:50.641747
yolov4,yolov4,0.0,0.08421967017319942,-0.006437364977346163,0.0,0.0,390000000,detection,2025-04-09T14:41:01.494561
yolov4,yolov4,0.0,0.060211899355684474,-0.053260699373028575,0.0,0.0,390000000,detection,2025-04-09T14:43:05.003443
yolov4,yolov4,0.0,0.038994901425060104,-0.09464107560743312,0.0,0.0,390000000,detection,2025-04-09T14:44:51.225660
yolov4,yolov4,0.0,0.03853845604977157,-0.09553129963543433,0.0,0.0,390000000,detection,2025-04-09T14:47:25.307266
yolov4,yolov4,0.0,0.036949133673587535,-0.09863101987386289,0.0,0.0,390000000,detection,2025-04-09T14:48:22.256064
yolov4,yolov4,0.0,0.04017769569480485,-0.09233422371208135,0.0,0.0,390000000,detection,2025-04-09T14:49:33.507572
yolov4,yolov4,0.0,0.04053239741414094,-0.0916424344851082,0.0,0.0,390000000,detection,2025-04-09T14:52:40.697168
yolov4,yolov4,0.0,0.04072804955749198,-0.09126084613177912,0.0,0.0,390000000,detection,2025-04-09T14:56:31.507856
yolov4,yolov4,0.0,0.039992846441342794,-0.09269474274874809,0.0,0.0,390000000,detection,2025-04-09T15:00:20.574786
yolov4,yolov4,0.0,0.046295517935879694,-0.08040238552749635,0.0,0.0,390000000,detection,2025-04-09T15:01:13.900748
yolov4,yolov4,0.0,0.04175639071453481,-0.08925523044029929,0.0,0.0,390000000,detection,2025-04-09T15:07:09.640817
yolov4,yolov4,0.0,0.04406523371356895,-0.08475219979107153,0.0,0.0,390000000,detection,2025-04-09T15:08:06.647515
yolov4,yolov4,0.0,0.03893955171950789,-0.09474902639517903,0.0,0.0,390000000,detection,2025-04-09T15:10:29.760749
yolov4,yolov4,0.0,0.037777510765093884,-0.09701540225337864,0.0,0.0,390000000,detection,2025-04-09T15:11:26.518352
yolov4,yolov4,0.0,0.039202314862011915,-0.09423654872360153,0.0,0.0,390000000,detection,2025-04-09T15:12:25.077130
yolov4,yolov4,0.0,0.03779724633723906,-0.09697691116226202,0.0,0.0,390000000,detection,2025-04-09T15:15:38.963388
yolov4,yolov4,0.0,0.04446905559784087,-0.08396460950344,0.0,0.0,390000000,detection,2025-04-09T15:20:09.354707
yolov4,yolov4,0.0,0.06253660431128621,-0.04872673250310044,0.0,0.0,390000000,detection,2025-04-09T17:51:34.351153
