Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_10,CPU_TEMP_11,CPU_TEMP_12,CPU_TEMP_13,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_TEMP_8,CPU_TEMP_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1743954571772,4056,4056,4056,4056,4056,4056,4056,4056,59.19984817504883,59.57278060913086,59.07269287109375,59.96342849731445,58.905296325683594,59.63860321044922,60.08131790161133,60.25591278076172,59.49814987182617,60.13703536987305,60.25880813598633,58.87375259399414,59.88220977783203,60.075721740722656,NaN,100,100,NaN,NaN,NaN,NaN,NaN,10.555645942687988,17179869184,5368709120,10855792640,3903389696
202,1743954571772,4056,4056,4056,4056,4056,4056,4056,4056,59.19984817504883,59.57278060913086,59.07269287109375,59.96342849731445,58.905296325683594,59.63860321044922,60.08131790161133,60.25591278076172,59.49814987182617,60.13703536987305,60.25880813598633,58.87375259399414,59.88220977783203,60.075721740722656,100,NaN,NaN,100,NaN,100,NaN,NaN,10.555645942687988,17179869184,5368709120,10855792640,3903389696
204,1743954571974,4056,4056,4056,4056,4056,4056,4056,4056,59.19984817504883,59.57278060913086,59.07269287109375,59.96342849731445,58.905296325683594,59.63860321044922,60.08131790161133,60.25591278076172,59.49814987182617,60.13703536987305,60.25880813598633,58.87375259399414,59.88220977783203,60.075721740722656,95,100,100,95.23809814453125,100,100,100,100,10.555645942687988,17179869184,5368709120,10783850496,3903389696
201,1743954572179,4056,4056,4056,4056,4056,4056,4056,4056,59.19984817504883,59.57278060913086,59.07269287109375,59.96342849731445,58.905296325683594,59.63860321044922,60.08131790161133,60.25591278076172,59.49814987182617,60.13703536987305,60.25880813598633,58.87375259399414,59.88220977783203,60.075721740722656,71.42857360839844,68.42105102539063,57.894737243652344,55,95.45454406738281,95.45454406738281,100,100,10.239734649658203,17179869184,5368709120,10502553600,3903389696
204,1743954572381,4056,4056,4056,4056,4056,4056,4056,4056,59.19984817504883,59.57278060913086,59.07269287109375,59.96342849731445,58.905296325683594,59.63860321044922,60.08131790161133,60.25591278076172,59.49814987182617,60.13703536987305,60.25880813598633,58.87375259399414,59.88220977783203,60.075721740722656,52.6315803527832,45,23.809524536132813,20,100,100,95,95,10.239734649658203,17179869184,5368709120,10524016640,3903389696
204,1743954572586,4056,4056,4056,4056,4056,4056,4056,4056,84.23905944824219,86.97148132324219,86.93192291259766,91.82334899902344,85.38856506347656,90.3886947631836,88.954833984375,89.46507263183594,85.97904205322266,90.07658386230469,91.21391296386719,84.63873291015625,90.11837768554688,91.3734359741211,95,100,95,90,86.36363983154297,80.95238494873047,90,85,10.239734649658203,17179869184,5368709120,10581311488,3903389696
205,1743954572791,4056,4056,4056,4056,4056,4056,4056,4056,84.23905944824219,86.97148132324219,86.93192291259766,91.82334899902344,85.38856506347656,90.3886947631836,88.954833984375,89.46507263183594,85.97904205322266,90.07658386230469,91.21391296386719,84.63873291015625,90.11837768554688,91.3734359741211,100,100,95,95.23809814453125,100,100,95.23809814453125,95.23809814453125,10.239734649658203,17179869184,5368709120,10631315456,3903389696
202,1743954572996,4056,4056,4056,4056,4056,4056,4056,4056,84.23905944824219,86.97148132324219,86.93192291259766,91.82334899902344,85.38856506347656,90.3886947631836,88.954833984375,89.46507263183594,85.97904205322266,90.07658386230469,91.21391296386719,84.63873291015625,90.11837768554688,91.3734359741211,90,85,85,70,95,95,95,94.73684692382813,10.239734649658203,17179869184,5368709120,10848993280,3903389696
203,1743954573198,4056,4056,4056,4056,4056,4056,4056,4056,84.23905944824219,86.97148132324219,86.93192291259766,91.82334899902344,85.38856506347656,90.3886947631836,88.954833984375,89.46507263183594,85.97904205322266,90.07658386230469,91.21391296386719,84.63873291015625,90.11837768554688,91.3734359741211,89.47368621826172,70,66.66667175292969,42.105262756347656,100,100,100,95.45454406738281,26.785709381103516,17179869184,5368709120,10785275904,3903389696
204,1743954573401,4056,4056,4056,4056,4056,4056,4056,4056,84.23905944824219,86.97148132324219,86.93192291259766,91.82334899902344,85.38856506347656,90.3886947631836,88.954833984375,89.46507263183594,85.97904205322266,90.07658386230469,91.21391296386719,84.63873291015625,90.11837768554688,91.3734359741211,90,40,42.105262756347656,33.333335876464844,90.90909576416016,90.47618865966797,95,95,26.785709381103516,17179869184,5368709120,10952654848,3903389696
202,1743954573606,4056,4056,4056,4056,4056,4056,4056,4056,89.6554183959961,92.34027862548828,92.18379974365234,97.27689361572266,90.60609436035156,95.78095245361328,94.43938446044922,95.07167053222656,91.44588470458984,95.48260498046875,96.66118621826172,89.98959350585938,95.35729217529297,96.5988540649414,66.66667175292969,60.000003814697266,71.42857360839844,70,100,100,95.23809814453125,100,26.785709381103516,17179869184,5368709120,11132616704,3903389696
204,1743954573809,4056,4056,4056,4056,4056,4056,4056,4056,89.6554183959961,92.34027862548828,92.18379974365234,97.27689361572266,90.60609436035156,95.78095245361328,94.43938446044922,95.07167053222656,91.44588470458984,95.48260498046875,96.66118621826172,89.98959350585938,95.35729217529297,96.5988540649414,65,52.38095474243164,52.38095474243164,30.000001907348633,100,95.23809814453125,100,95.23809814453125,26.785709381103516,17179869184,5368709120,11257315328,3903389696
199,1743954574014,4056,4056,4056,4056,4056,4056,4056,4056,89.6554183959961,92.34027862548828,92.18379974365234,97.27689361572266,90.60609436035156,95.78095245361328,94.43938446044922,95.07167053222656,91.44588470458984,95.48260498046875,96.66118621826172,89.98959350585938,95.35729217529297,96.5988540649414,66.66667175292969,50,35,40.90909194946289,95,100,95.23809814453125,100,26.785709381103516,17179869184,5368709120,11392352256,3903389696
199,1743954574214,4056,4056,4056,4056,4056,4056,4056,4056,89.6554183959961,92.34027862548828,92.18379974365234,97.27689361572266,90.60609436035156,95.78095245361328,94.43938446044922,95.07167053222656,91.44588470458984,95.48260498046875,96.66118621826172,89.98959350585938,95.35729217529297,96.5988540649414,89.47368621826172,80,36.842105865478516,26.3157901763916,100,95.23809814453125,100,94.73684692382813,32.29286193847656,17179869184,5368709120,11543494656,3903389696
204,1743954574414,4056,4056,4056,4056,4056,4056,4056,4056,89.6554183959961,92.34027862548828,92.18379974365234,97.27689361572266,90.60609436035156,95.78095245361328,94.43938446044922,95.07167053222656,91.44588470458984,95.48260498046875,96.66118621826172,89.98959350585938,95.35729217529297,96.5988540649414,85.71428680419922,60.000003814697266,35,30.000001907348633,95.23809814453125,100,95.23809814453125,95.23809814453125,32.29286193847656,17179869184,5368709120,11543494656,3903389696
