Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_10,CPU_TEMP_11,CPU_TEMP_12,CPU_TEMP_13,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_TEMP_8,CPU_TEMP_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
202,1744141968471,4056,4056,4056,4056,4056,4056,4056,4056,87.06829833984375,89.26693725585938,89.80443572998047,93.38957214355469,88.53004455566406,92.71237182617188,90.94308471679688,90.72517395019531,88.54981994628906,91.71977233886719,92.04887390136719,87.22026824951172,92.58546447753906,93.15767669677734,100,95,95.23809814453125,95,100,100,100,100,39.49354553222656,17179869184,4294967296,13110673408,3300524032
202,1744141968674,4056,4056,4056,4056,4056,4056,4056,4056,87.06829833984375,89.26693725585938,89.80443572998047,93.38957214355469,88.53004455566406,92.71237182617188,90.94308471679688,90.72517395019531,88.54981994628906,91.71977233886719,92.04887390136719,87.22026824951172,92.58546447753906,93.15767669677734,94.73684692382813,95,95,95,100,100,100,100,39.49354553222656,17179869184,4294967296,13110673408,3300524032
200,1744141968876,4056,4056,4056,4056,4056,4056,4056,4056,93.54900360107422,96.26246643066406,96.80706787109375,101.13726806640625,94.9609146118164,100.21232604980469,98.55351257324219,98.60464477539063,95.4786376953125,99.4006118774414,99.9955825805664,93.82311248779297,100.19515228271484,101.08720397949219,100,100,95,90,100,100,100,100,39.49354553222656,17179869184,4294967296,13110673408,3300524032
204,1744141969076,4056,4056,4056,4056,4056,4056,4056,4056,93.54900360107422,96.26246643066406,96.80706787109375,101.13726806640625,94.9609146118164,100.21232604980469,98.55351257324219,98.60464477539063,95.4786376953125,99.4006118774414,99.9955825805664,93.82311248779297,100.19515228271484,101.08720397949219,100,100,100,100,100,100,100,100,39.49354553222656,17179869184,4294967296,13223591936,3300524032
202,1744141969281,4056,4056,4056,4056,4056,4056,4056,4056,93.54900360107422,96.26246643066406,96.80706787109375,101.13726806640625,94.9609146118164,100.21232604980469,98.55351257324219,98.60464477539063,95.4786376953125,99.4006118774414,99.9955825805664,93.82311248779297,100.19515228271484,101.08720397949219,95.23809814453125,75,57.142860412597656,52.38095474243164,100,100,100,100,39.49354553222656,17179869184,4294967296,13223591936,3300524032
200,1744141969484,4056,4056,4056,4056,4056,4056,4056,4056,93.54900360107422,96.26246643066406,96.80706787109375,101.13726806640625,94.9609146118164,100.21232604980469,98.55351257324219,98.60464477539063,95.4786376953125,99.4006118774414,99.9955825805664,93.82311248779297,100.19515228271484,101.08720397949219,84.21052551269531,35,25,19.047618865966797,100,95.23809814453125,100,100,38.84910202026367,17179869184,4294967296,13223591936,3300524032
204,1744141969685,4056,4056,4056,4056,4056,4056,4056,4056,93.54900360107422,96.26246643066406,96.80706787109375,101.13726806640625,94.9609146118164,100.21232604980469,98.55351257324219,98.60464477539063,95.4786376953125,99.4006118774414,99.9955825805664,93.82311248779297,100.19515228271484,101.08720397949219,90,33.333335876464844,25,11.111111640930176,100,100,100,95.23809814453125,38.84910202026367,17179869184,4294967296,13223591936,3300524032
202,1744141969890,4056,4056,4056,4056,4056,4056,4056,4056,94.5623550415039,97.28105163574219,97.43726348876953,101.52333068847656,95.80504608154297,100.51001739501953,99.02484893798828,99.2073745727539,96.2916488647461,100.14055633544922,100.9044418334961,94.98236083984375,100.4169921875,101.33075714111328,65,36.842105865478516,30.000001907348633,22.72727394104004,95.45454406738281,100,95.45454406738281,100,38.84910202026367,17179869184,4294967296,13223591936,3300524032
204,1744141970093,4056,4056,4056,4056,4056,4056,4056,4056,94.5623550415039,97.28105163574219,97.43726348876953,101.52333068847656,95.80504608154297,100.51001739501953,99.02484893798828,99.2073745727539,96.2916488647461,100.14055633544922,100.9044418334961,94.98236083984375,100.4169921875,101.33075714111328,30.000001907348633,28.571430206298828,15.000000953674316,5,100,100,100,100,38.84910202026367,17179869184,4294967296,13670940672,3300524032
204,1744141970298,4056,4056,4056,4056,4056,4056,4056,4056,94.5623550415039,97.28105163574219,97.43726348876953,101.52333068847656,95.80504608154297,100.51001739501953,99.02484893798828,99.2073745727539,96.2916488647461,100.14055633544922,100.9044418334961,94.98236083984375,100.4169921875,101.33075714111328,33.333335876464844,23.809524536132813,19.047618865966797,20,100,95.45454406738281,100,100,38.84910202026367,17179869184,4294967296,13741752320,3351445504
