Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_10,CPU_TEMP_11,CPU_TEMP_12,CPU_TEMP_13,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_TEMP_8,CPU_TEMP_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
202,1743409267447,4056,4056,4056,4056,4056,4056,4056,4056,56.409549713134766,56.24199295043945,54.95853805541992,53.3870735168457,54.612449645996094,53.615501403808594,57.65601348876953,57.3121223449707,56.8486213684082,56.612606048583984,56.183082580566406,55.466453552246094,55.80918884277344,55.630882263183594,14.285715103149414,10,19.047618865966797,9.523809432983398,15.789472579956055,0,0,9.523809432983398,8.866703987121582,17179869184,8589934592,13792903168,7698907136
204,1743409267650,4056,4056,4056,4056,4056,4056,4056,4056,56.409549713134766,56.24199295043945,54.95853805541992,53.3870735168457,54.612449645996094,53.615501403808594,57.65601348876953,57.3121223449707,56.8486213684082,56.612606048583984,56.183082580566406,55.466453552246094,55.80918884277344,55.630882263183594,10.526315689086914,10,5,0,19.047618865966797,9.090909004211426,9.523809432983398,0,8.866703987121582,17179869184,8589934592,13792903168,7698907136
201,1743409267855,4056,4056,4056,4056,4056,4056,4056,4056,56.409549713134766,56.24199295043945,54.95853805541992,53.3870735168457,54.612449645996094,53.615501403808594,57.65601348876953,57.3121223449707,56.8486213684082,56.612606048583984,56.183082580566406,55.466453552246094,55.80918884277344,55.630882263183594,38.095237731933594,33.333335876464844,28.571430206298828,15.000000953674316,15.000000953674316,10.526315689086914,9.523809432983398,5,12.357913970947266,17179869184,8589934592,13955006464,7759724544
201,1743409268057,4056,4056,4056,4056,4056,4056,4056,4056,56.409549713134766,56.24199295043945,54.95853805541992,53.3870735168457,54.612449645996094,53.615501403808594,57.65601348876953,57.3121223449707,56.8486213684082,56.612606048583984,56.183082580566406,55.466453552246094,55.80918884277344,55.630882263183594,5.263157844543457,5.263157844543457,0,5,14.285715103149414,9.523809432983398,0,0,12.357913970947266,17179869184,8589934592,13967998976,7759724544
204,1743409268259,4056,4056,4056,4056,4056,4056,4056,4056,56.875328063964844,56.10051727294922,54.301109313964844,54.120391845703125,54.11492156982422,54.25614929199219,58.170631408691406,57.859962463378906,57.29348373413086,56.31372833251953,55.904319763183594,55.461429595947266,54.83669662475586,54.55461502075195,23.809524536132813,28.571430206298828,10,4.761904716491699,10.526315689086914,5.263157844543457,10.526315689086914,9.523809432983398,12.357913970947266,17179869184,8589934592,14002028544,7759724544
204,1743409268464,4056,4056,4056,4056,4056,4056,4056,4056,56.875328063964844,56.10051727294922,54.301109313964844,54.120391845703125,54.11492156982422,54.25614929199219,58.170631408691406,57.859962463378906,57.29348373413086,56.31372833251953,55.904319763183594,55.461429595947266,54.83669662475586,54.55461502075195,10,5,4.761904716491699,0,19.047618865966797,4.761904716491699,9.090909004211426,0,12.357913970947266,17179869184,8589934592,14002028544,7759724544
204,1743409268669,4056,4056,4056,4056,4056,4056,4056,4056,56.875328063964844,56.10051727294922,54.301109313964844,54.120391845703125,54.11492156982422,54.25614929199219,58.170631408691406,57.859962463378906,57.29348373413086,56.31372833251953,55.904319763183594,55.461429595947266,54.83669662475586,54.55461502075195,20,25,10,5,9.523809432983398,5,10,15.789472579956055,12.357913970947266,17179869184,8589934592,14002028544,7759724544
204,1743409268874,4056,4056,4056,4056,4056,4056,4056,4056,56.875328063964844,56.10051727294922,54.301109313964844,54.120391845703125,54.11492156982422,54.25614929199219,58.170631408691406,57.859962463378906,57.29348373413086,56.31372833251953,55.904319763183594,55.461429595947266,54.83669662475586,54.55461502075195,10,14.285715103149414,5,4.761904716491699,10.526315689086914,5,0,10,12.21987247467041,17179869184,8589934592,14053507072,7759724544
203,1743409269079,4056,4056,4056,4056,4056,4056,4056,4056,56.875328063964844,56.10051727294922,54.301109313964844,54.120391845703125,54.11492156982422,54.25614929199219,58.170631408691406,57.859962463378906,57.29348373413086,56.31372833251953,55.904319763183594,55.461429595947266,54.83669662475586,54.55461502075195,15.000000953674316,9.523809432983398,0,0,9.090909004211426,9.523809432983398,9.523809432983398,18.18181800842285,12.21987247467041,17179869184,8589934592,13961674752,7759724544
203,1743409269282,4056,4056,4056,4056,4056,4056,4056,4056,57.024715423583984,56.6597900390625,56.01199722290039,56.78386688232422,55.76546096801758,56.84661102294922,58.24321365356445,57.93437194824219,57.45027160644531,56.94816970825195,56.550071716308594,55.95159149169922,56.590553283691406,56.19600296020508,14.285715103149414,15.000000953674316,9.090909004211426,0,20,19.047618865966797,10,10,12.21987247467041,17179869184,8589934592,13961674752,7759724544
