Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_10,CPU_TEMP_11,CPU_TEMP_12,CPU_TEMP_13,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_TEMP_8,CPU_TEMP_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1743593972566,4056,4056,4056,4056,4056,4056,4056,4056,54.2337646484375,54.047664642333984,53.546852111816406,54.187477111816406,54.00754165649414,54.11561584472656,54.12109375,54.06755447387695,54.032806396484375,53.96217346191406,53.939857482910156,53.73325729370117,53.86795425415039,53.59817886352539,0,0,NaN,NaN,NaN,100,100,0,8.575531005859375,17179869184,12884901888,9359835136,11524308992
204,1743593972566,4056,4056,4056,4056,4056,4056,4056,4056,54.2337646484375,54.047664642333984,53.546852111816406,54.187477111816406,54.00754165649414,54.11561584472656,54.12109375,54.06755447387695,54.032806396484375,53.96217346191406,53.939857482910156,53.73325729370117,53.86795425415039,53.59817886352539,NaN,NaN,0,0,NaN,100,NaN,NaN,8.575531005859375,17179869184,12884901888,9362325504,11524308992
204,1743593972771,4056,4056,4056,4056,4056,4056,4056,4056,62.77635955810547,63.782264709472656,63.69648742675781,66.3156509399414,63.186344146728516,65.6052017211914,64.61807250976563,64.9346694946289,63.378150939941406,65.06657409667969,65.53816223144531,62.649967193603516,65.08843994140625,65.477783203125,15.000000953674316,14.285715103149414,5,0,90.47618865966797,90,90.47618865966797,95,8.575531005859375,17179869184,12884901888,9563783168,11524308992
204,1743593972976,4056,4056,4056,4056,4056,4056,4056,4056,62.77635955810547,63.782264709472656,63.69648742675781,66.3156509399414,63.186344146728516,65.6052017211914,64.61807250976563,64.9346694946289,63.378150939941406,65.06657409667969,65.53816223144531,62.649967193603516,65.08843994140625,65.477783203125,5,10,4.761904716491699,4.761904716491699,90.90909576416016,95,95,95,8.575531005859375,17179869184,12884901888,9764028416,11524308992
204,1743593973181,4056,4056,4056,4056,4056,4056,4056,4056,62.77635955810547,63.782264709472656,63.69648742675781,66.3156509399414,63.186344146728516,65.6052017211914,64.61807250976563,64.9346694946289,63.378150939941406,65.06657409667969,65.53816223144531,62.649967193603516,65.08843994140625,65.477783203125,28.571430206298828,20,15.000000953674316,10,90,90.47618865966797,90,90.47618865966797,8.61508846282959,17179869184,12884901888,9956704256,11515920384
203,1743593973386,4056,4056,4056,4056,4056,4056,4056,4056,62.77635955810547,63.782264709472656,63.69648742675781,66.3156509399414,63.186344146728516,65.6052017211914,64.61807250976563,64.9346694946289,63.378150939941406,65.06657409667969,65.53816223144531,62.649967193603516,65.08843994140625,65.477783203125,70,66.66667175292969,65,65,85.71428680419922,85.71428680419922,85,85,8.61508846282959,17179869184,12884901888,10093985792,11515920384
200,1743593973589,4056,4056,4056,4056,4056,4056,4056,4056,62.77635955810547,63.782264709472656,63.69648742675781,66.3156509399414,63.186344146728516,65.6052017211914,64.61807250976563,64.9346694946289,63.378150939941406,65.06657409667969,65.53816223144531,62.649967193603516,65.08843994140625,65.477783203125,61.904762268066406,63.15789031982422,55,50,89.47368621826172,94.73684692382813,85.71428680419922,90,8.61508846282959,17179869184,12884901888,10227990528,11507531776
204,1743593973790,4056,4056,4056,4056,4056,4056,4056,4056,83.6004409790039,86.50289916992188,86.3113021850586,91.18388366699219,84.79994201660156,89.9095687866211,88.13247680664063,88.49845886230469,85.3456802368164,89.56639099121094,90.6930923461914,84.27641296386719,89.41817474365234,90.37932586669922,63.15789031982422,55,55,45,85,80.95238494873047,85,75,8.61508846282959,17179869184,12884901888,10338172928,11499143168
204,1743593973995,4056,4056,4056,4056,4056,4056,4056,4056,83.6004409790039,86.50289916992188,86.3113021850586,91.18388366699219,84.79994201660156,89.9095687866211,88.13247680664063,88.49845886230469,85.3456802368164,89.56639099121094,90.6930923461914,84.27641296386719,89.41817474365234,90.37932586669922,35,28.571430206298828,18.18181800842285,9.523809432983398,90,90,89.47368621826172,85.71428680419922,8.61508846282959,17179869184,12884901888,10520363008,11499143168
202,1743593974200,4056,4056,4056,4056,4056,4056,4056,4056,83.6004409790039,86.50289916992188,86.3113021850586,91.18388366699219,84.79994201660156,89.9095687866211,88.13247680664063,88.49845886230469,85.3456802368164,89.56639099121094,90.6930923461914,84.27641296386719,89.41817474365234,90.37932586669922,42.85714340209961,38.095237731933594,25,25,90.47618865966797,90,90.47618865966797,95,21.952789306640625,17179869184,12884901888,10712186880,11499143168
